date,close,open,high,low
2026-01-15,3074.95,3080.32,3110.74,3072.59
2026-01-16,3091.58,3056.31,3103.77,3046.66
2026-01-19,3050.48,3052.67,3068.53,3044.69
2026-01-20,3054.16,3061.42,3069.16,3031.97
2026-01-21,3063.48,3051.1,3068.67,3044.0
2026-01-22,3053.47,3032.88,3059.62,3027.64
2026-01-23,3048.5,3025.23,3051.64,3016.27
2026-01-26,3041.57,3058.54,3091.86,3038.89
2026-01-27,3065.25,3067.39,3090.07,3056.73
2026-01-28,3083.42,3111.48,3116.79,3061.64
2026-01-29,3118.75,3154.74,3161.92,3094.07
2026-01-30,3132.6,3091.82,3149.5,3081.29
2026-02-02,3049.75,3016.21,3082.35,3002.14
2026-02-03,3037.6,3044.86,3047.47,3002.42
2026-02-04,3053.25,3096.37,3101.89,3050.46
2026-02-05,3078.21,3079.11,3088.67,3042.77
2026-02-06,3042.33,3072.31,3090.32,3037.28
2026-02-09,3101.48,3117.09,3119.44,3091.09
2026-02-10,3125.79,3135.85,3141.78,3121.79
2026-02-11,3138.95,3147.06,3153.01,3130.36
2026-02-12,3153.84,3149.15,3162.46,3144.76
2026-02-13,3125.84,3084.13,3126.85,3081.27
2026-02-16,3088.46,3095.31,3097.23,3083.64
2026-02-20,3097.52,3095.43,3106.93,3087.42
2026-02-23,3109.98,3123.46,3125.0,3109.98
2026-02-24,3142.12,3122.25,3142.35,3115.52
2026-02-25,3134.8,3138.66,3162.54,3129.85
2026-02-26,3148.52,3103.14,3148.52,3103.14
2026-02-27,3095.96,3102.19,3108.52,3086.99
2026-03-02,3091.04,3096.35,3103.47,3051.45
2026-03-03,3096.32,3074.86,3124.11,3068.64
2026-03-04,3042.0,3022.73,3042.0,2987.29
2026-03-05,3052.23,3040.24,3067.42,3031.75
2026-03-06,3023.8,3052.4,3055.37,3014.77
2026-03-09,3009.57,3021.93,3022.36,2970.59
2026-03-10,3043.09,3064.1,3067.33,3042.6
2026-03-11,3070.03,3089.1,3096.43,3067.1
2026-03-12,3082.8,3084.57,3091.9,3060.77
2026-03-13,3069.84,3055.87,3086.23,3052.18
2026-03-16,3051.51,3061.37,3061.72,3022.24
2026-03-17,3071.52,3066.89,3113.8,3064.65
2026-03-18,3070.65,3072.8,3077.52,3045.29
2026-03-19,3035.36,3016.97,3051.15,3012.06
2026-03-20,3025.41,3013.26,3046.29,3005.1
2026-03-23,2970.69,2907.72,2970.69,2890.01
2026-03-24,2941.02,2964.73,2964.76,2911.68
2026-03-25,2985.17,2998.28,2998.34,2980.01
2026-03-26,2991.06,2955.57,2996.13,2949.99
2026-03-27,2937.57,2981.34,2991.64,2935.62
2026-03-30,2950.91,2982.77,2985.79,2946.0
2026-03-31,2987.64,2975.45,3016.33,2970.37
2026-04-01,3026.13,3028.01,3033.67,3010.02
2026-04-02,3026.84,3013.0,3033.31,2994.15
2026-04-03,3014.92,2991.38,3015.62,2988.11
2026-04-07,2991.45,2983.16,2994.4,2975.4
2026-04-08,3030.15,3066.58,3066.69,3030.15
2026-04-09,3048.92,3043.18,3050.83,3032.97
2026-04-10,3062.89,3077.73,3087.39,3059.08
2026-04-13,3065.6,3079.39,3081.58,3056.1
2026-04-14,3095.58,3111.83,3113.61,3080.32
2026-04-15,3134.34,3108.34,3135.96,3105.02
2026-04-16,3119.54,3141.6,3143.18,3115.6
2026-04-17,3132.02,3111.09,3132.02,3102.29
2026-04-20,3110.07,3125.08,3126.5,3100.03
2026-04-21,3129.69,3143.77,3148.4,3118.62
2026-04-22,3127.89,3127.2,3133.53,3119.34
2026-04-23,3132.17,3114.91,3134.78,3102.23
2026-04-24,3106.62,3112.28,3117.86,3088.09
2026-04-27,3112.49,3104.97,3129.68,3099.43
2026-04-28,3097.43,3096.94,3106.32,3089.14
2026-04-29,3096.88,3148.63,3149.99,3095.77
2026-04-30,3139.52,3113.22,3151.11,3110.8
2026-05-04,3127.15,3120.52,3129.33,3118.19
2026-05-05,3115.16,3115.11,3116.45,3103.1
2026-05-06,3140.38,3156.08,3156.08,3119.63
2026-05-07,3175.74,3165.07,3180.39,3154.68
2026-05-08,3149.44,3144.38,3158.06,3132.49
2026-05-11,3148.57,3167.19,3172.53,3140.08
2026-05-12,3174.87,3157.72,3177.85,3152.57
2026-05-13,3155.23,3154.04,3162.56,3136.35
2026-05-14,3178.19,3116.0,3178.19,3115.64
